symbol,name,exchange,mic_code,sector,industry,employees,website,description,type,CEO,address,city,zip,state,country,phone
AGNC,AGNC Investment Corp,NASDAQ,XNGS,Real Estate,REIT—Mortgage,53,https://www.agnc.com,"AGNC Investment Corp. provides private capital to housing market in the United States. It invests in residential mortgage pass-through securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States government-sponsored enterprise or by the United States government agency. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was formerly known as American Capital Agency Corp. and changed its name to AGNC Investment Corp. in September 2016. AGNC Investment Corp. was incorporated in 2008 and is headquartered in Bethesda, Maryland.",REIT,Mr. Peter J. Federico,7373 Wisconsin Avenue,Bethesda,20814,MD,United States,301 968 9315
WFG,West Fraser Timber Co. Ltd.,NYSE,XNYS,Basic Materials,Lumber & Wood Production,10800,https://www.westfraser.com,"West Fraser Timber Co. Ltd., a diversified wood products company, engages in manufacturing, selling, marketing, and distributing lumber, engineered wood products, pulp, newsprint, wood chips, and other residuals and renewable energy. It offers spruce-pine-fir, douglas fir-larch, hem-fir, and southern yellow pine lumber, treated wood products, medium density fiberboard panels and plywood, oriented strand board, and laminated veneer lumber wood products, as well as particleboards. The company also provides northern bleached softwood Kraft pulp and bleached chemical thermo-mechanical pulp used to produce various paper products, including printing and writing papers, paperboard products, tissue and towel products, and a variety of other paper grades. Further, it offers bioproducts, including bioenergy and biomaterial. Its products are used in home construction, repair and remodeling, papers, tissue, and box materials, and industrial applications. The company sells its products to major retail chains, contractor supply yards, and wholesalers, as well as industrial customers for further processing or as components for other products in Canada, the United States, the United Kingdom, Europe, and internationally. West Fraser Timber Co. Ltd. was founded in 1955 and is headquartered in Vancouver, Canada.",Common Stock,Mr. Sean P. McLaren,885 West Georgia Street,Vancouver,V6C 3E8,BC,Canada,604 895 2700
STWD,Starwood Property Trust Inc,NYSE,XNYS,Real Estate,REIT - Mortgage,293,https://www.starwoodpropertytrust.com,"Starwood Property Trust, Inc. operates as a real estate investment trust (REIT) in the United States and internationally. The company operates through Commercial and Residential Lending, Infrastructure Lending, Property, and Investing and Servicing segments. The Commercial and Residential Lending segment originates, acquires, finances, and manages commercial first mortgages, non-agency residential mortgages, subordinated mortgages, mezzanine loans, preferred equity, commercial mortgage-backed securities (CMBS), and residential mortgage-backed securities, as well as other real estate and real estate-related debt investments, include distressed or non-performing loans. The Infrastructure lending segment originates, acquires, finances, and manages infrastructure debt investments. The Property segment engages primarily in acquiring and managing equity interests in stabilized commercial real estate properties, such as multifamily properties and commercial properties subject to net leases, that are held for investment. The Investing and Servicing segment manages and works out problem assets; acquires and manages unrated, investment grade, and non-investment grade rated CMBS comprising subordinated interests of securitization and re-securitization transactions; originates conduit loans for the primary purpose of selling these loans into securitization transactions; and acquires commercial real estate assets that include properties acquired from CMBS trusts. The company qualifies as a REIT for federal income tax purposes and would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was incorporated in 2009 and is headquartered in Greenwich, Connecticut.",REIT,Mr. Barry Stuart Sternlicht,591 West Putnam Avenue,Greenwich,06830,CT,United States,203 422 7700
VNT,Vontier Corp,NYSE,XNYS,Technology,Scientific & Technical Instruments,8000,https://www.vontier.com,"Vontier Corporation provides mobility ecosystem solutions worldwide. The company operates through Mobility Technologies, Repair Solutions, and Environmental and Fueling Solutions segments. The Mobility Technologies segment provides digitally equipment solutions for mobility ecosystem, such as point-of-sale and payment systems, workflow automation, telematics, data analytics, software platform, and integrated solutions for alternative fuel dispensing. The Repair Solutions segment manufactures and distributes vehicle repair tools, toolboxes, automotive diagnostic equipment and software through mobile franchise network. The Environmental and Fueling Solutions segment offers environmental, fueling hardware, software, and aftermarket solutions for fueling infrastructures. It also offers a range of solutions, including environmental sensors; fueling equipment; field payment hardware; point-of sale, workflow, and monitoring software; vehicle tracking and fleet management; software solutions for EV charging; and vehicle mechanics, and technicians equipment. The company markets its products and services to retail and commercial fueling, convenience store, and car wash operators; commercial vehicle repair businesses, fleet owners/operators and electric vehicle charging network operators, as well as direct sales personnel and independent distributors. It serves customers in North America, the Asia Pacific, Europe, and Latin America. Vontier Corporation was incorporated in 2019 and is headquartered in Raleigh, North Carolina.",Common Stock,Mr. Mark D. Morelli,5438 Wade Park Boulevard,Raleigh,27607,NC,United States,984 275 6000
IONS,Ionis Pharmaceuticals Inc,NASDAQ,XNGS,Healthcare,Biotechnology,927,https://www.ionispharma.com,"Ionis Pharmaceuticals, Inc. discovers and develops RNA-targeted therapeutics in the United States. The company offers SPINRAZA for spinal muscular atrophy (SMA) in pediatric and adult patients; TEGSEDI, an antisense injection for the treatment of polyneuropathy caused by hereditary transthyretin amyloidosis in adults; and WAYLIVRA, an antisense medicine for treatment for familial chylomicronemia syndrome (FCS) and familial partial lipodystrophy. It also develops medicines for various indications that are in phase 3 study, including Eplontersen as a monthly self-administered subcutaneous injection to treat all types of ATTR; Olezarsen for patients with FCS and severe hypertriglyceridemia (SHTG); Donidalorsen for patients with hereditary angioedema; ION363 for patients with amyotrophic lateral sclerosis; Tofersen to inhibit the production of superoxide dismutase 1; Pelacarsen for patients with established cardiovascular disease and elevated lipoprotein(a); and Bepirovirsen to inhibit the production of viral proteins associated with hepatitis B virus. In addition, the company develops IONIS-FB-LRx to inhibit the production of complement factor B and the alternative complement pathway; and ION224 to reduce the production of diacylglycerol acyltransferase 2. It has a strategic collaboration with Biogen for the treatment of neurological disorders; and collaboration and license agreement with Metagenomi, Inc, AstraZeneca, Bayer AG, GlaxoSmithKline plc, Novartis, Roche, Swedish Orphan Biovitrum AB, and PTC Therapeutics. The company was incorporated in 1989 and is based in Carlsbad, California.",Common Stock,Dr. Brett P. Monia Ph.D.,2855 Gazelle Court,Carlsbad,92010,CA,United States,760 931 9200
CAVA,"CAVA Group, Inc. Common Stock",NYSE,XNYS,Consumer Cyclical,Restaurants,8100,https://www.cava.com,"CAVA Group, Inc. owns and operates a chain of restaurants under the CAVA brand in the United States. The company also offers dips, spreads, and dressings through grocery stores. In addition, the company provides online and mobile ordering platforms. Cava Group, Inc. was founded in 2006 and is headquartered in Washington, the District of Columbia.",Common Stock,Mr. Brett  Schulman,14 Ridge Square NW,Washington,20016,DC,United States,202-400-2920
ANF,Abercrombie & Fitch Co,NYSE,XNYS,Consumer Cyclical,Apparel Retail,7200,https://www.abercrombie.com,"Abercrombie & Fitch Co., through its subsidiaries, operates as a specialty retailer in the United States, Europe, the Middle East, Asia, the Asia-Pacific, Canada, and internationally. The company operates through two segments, Hollister and Abercrombie. It offers an assortment of apparel, personal care products, and accessories for men, women, and kids under the Hollister, Gilly Hicks, Social Tourist, Abercrombie & Fitch, and abercrombie kids brands. The company sells products through its stores; various wholesale, franchise, and licensing arrangements; and e-commerce platforms. Abercrombie & Fitch Co. was founded in 1892 and is headquartered in New Albany, Ohio.",Common Stock,Ms. Fran  Horowitz,6301 Fitch Path,New Albany,43054,OH,United States,614 283 6500
OGE,OGE Energy Corp,NYSE,XNYS,Utilities,Utilities—Regulated Electric,2329,https://www.oge.com,"OGE Energy Corp., together with its subsidiaries, operates as an energy services provider in the United States. The company generates, transmits, distributes, and sells electric energy. In addition, it provides retail electric service to approximately 896,000 customers, which covers a service area of approximately 30,000 square miles in Oklahoma and western Arkansas; and owns and operates coal-fired, natural gas-fired, wind-powered, and solar-powered generating assets. OGE Energy Corp. was founded in 1902 and is headquartered in Oklahoma City, Oklahoma.",Common Stock,Mr. Robert Sean Trauschke,321 North Harvey,Oklahoma City,73101-0321,OK,United States,405 553 3000
OLN,Olin Corp,NYSE,XNYS,Basic Materials,Specialty Chemicals,7326,https://www.olin.com,"Olin Corporation manufactures and distributes chemical products in the United States, Europe, Asia Pacific, Latin America, and Canada. It operates through three segments: Chlor Alkali Products and Vinyls; Epoxy; and Winchester. The Chlor Alkali Products and Vinyls segment offers chlorine and caustic soda, ethylene dichloride and vinyl chloride monomers, methyl chloride, methylene chloride, chloroform, carbon tetrachloride, perchloroethylene, hydrochloric acid, hydrogen, bleach products, potassium hydroxide, and chlorinated organics intermediates and solvents. The Epoxy segment provides Allylics, such as allyl chloride, epichlorohydrin, and glycerin; aromatics, including acetone, bisphenol, cumene, and phenol; liquid and solid epoxy resins; and converted epoxy resins and additives. The Winchester segment offers sporting ammunition products, including shotshells, small caliber centerfire, and rimfire ammunition products for hunters and recreational shooters, and law enforcement agencies; small caliber military ammunition products for use in infantry and mounted weapons; and industrial products comprising gauge loads and powder-actuated tool loads for maintenance applications in power and concrete industries, and powder-actuated tools in construction industry. The company markets its products through its sales force, as well as directly to various industrial customers, mass merchants, retailers, wholesalers, gun clubs, other distributors, and the U.S. Government and its prime contractors. Olin Corporation was incorporated in 1892 and is based in Clayton, Missouri.",Common Stock,Mr. Scott McDougald Sutton,190 Carondelet Plaza,Clayton,63105,MO,United States,314 480 1400
CMA,Comerica Inc,NYSE,XNYS,Financial Services,Banks—Regional,7701,https://www.comerica.com,"Comerica Incorporated, through its subsidiaries, provides various financial products and services. The company operates through Commercial Bank, Retail Bank, Wealth Management, and Finance segments. The Commercial Bank segment offers various products and services, including commercial loans and lines of credit, deposits, cash management, payment solutions, card services, capital market products, international trade finance, letters of credit, foreign exchange management services, and loan syndication services for small and middle market businesses, multinational corporations, and governmental entities. The Retail Bank segment provides personal financial services, such as consumer lending, consumer deposit gathering, and mortgage loan origination; and various consumer products that include deposit accounts, installment loans, credit cards, student loans, home equity lines of credit, and residential mortgage loans. The Wealth Management segment offers products and services comprising financial planning, trust and fiduciary services, investment management and advisory, brokerage, private banking, and business transition planning services for affluents, high-net worth and ultra-high-net-worth individuals and families, business owners, and executives, and institutional clients. The Finance segment comprises securities portfolio, and asset and liability management activities. It operates in Texas, California, Michigan, Arizona, and Florida, the United States; and Canada and Mexico. The company was formerly known as DETROITBANK Corporation and changed its name to Comerica Incorporated in July 1982. Comerica Incorporated was founded in 1849 and is headquartered in Dallas, Texas.",Common Stock,Mr. Curtis Chatman Farmer,Comerica Bank Tower,Dallas,75201-6404,TX,United States,833-571-0486
LYFT,Lyft Inc,NASDAQ,XNGS,Technology,Software—Application,2945,https://www.lyft.com,"Lyft, Inc. operates a peer-to-peer marketplace for on-demand ridesharing in the United States and Canada. It operates multimodal transportation networks that offer access to various transportation options through the Lyft platform and mobile-based applications. The company's platform provides a ridesharing marketplace, which connects drivers with riders; Express Drive, a car rental program for drivers; and a network of shared bikes and scooters in various cities to address the needs of riders for short trips. It also offers centralized tools and enterprise transportation solutions, such as concierge transportation solutions for organizations; Lyft Pink subscription plans; Lyft Pass commuter programs; first-mile and last-mile services; and university safe rides programs. The company was formerly known as Zimride, Inc. and changed its name to Lyft, Inc. in April 2013. Lyft, Inc. was incorporated in 2007 and is headquartered in San Francisco, California.",Common Stock,Mr. John David Risher,185 Berry Street,San Francisco,94107,CA,United States,844 250 2773
UGP,Ultrapar Participacoes SA,NYSE,XNYS,Energy,Oil & Gas Refining & Marketing,10156,https://www.ultra.com.br,"Ultrapar Participações S.A., through its subsidiaries, operates in the energy and infrastructure business in Brazil. The company distributes liquefied petroleum gas to residential, commercial, and industrial consumers, in addition to renewable electricity and compressed natural gas. It also operates in the distribution and marketing of gasoline, ethanol, diesel, fuel oil, kerosene, natural gas for vehicles, and lubricants; and holds AmPm convenience stores and provides JetOil lubricant services. In addition, the company operates liquid bulk storage terminals. Further, it offers digital payments services, combining the abastece aí app and the loyalty program Km de Vantagens. It also exports its products and services to customers in Europe, Singapore, the United States, Canada, other Latin American countries, and internationally. The company was founded in 1937 and is headquartered in São Paulo, Brazil.",Depositary Receipt,Mr. Marcos Marinho Lutz,"Brigadeiro Luis Antônio Avenue, 1343",São Paulo,01317-910,SP,Brazil,55 11 3177 7014
AM,Antero Midstream Corp,NYSE,XNYS,Energy,Oil & Gas Midstream,604,https://www.anteromidstream.com,"Antero Midstream Corporation owns, operates, and develops midstream energy assets in the Appalachian Basin. It operates in two segments, Gathering and Processing, and Water Handling. The Gathering and Processing segment includes a network of gathering pipelines and compressor stations that collects and processes production from Antero Resources' wells in West Virginia and Ohio. The Water Handling segment delivers fresh water from sources, including the Ohio River, local reservoirs, and various regional waterways; uses water handling systems to transport flowback and produced water; and offers pumping stations, water storage, and blending facilities. The company was founded in 2002 and is headquartered in Denver, Colorado.",Common Stock,Mr. Paul M. Rady,1615 Wynkoop Street,Denver,80202,CO,United States,303 357 7310
VNOM,Viper Energy Partners LP,NASDAQ,XNGS,Energy,Oil & Gas Midstream,0,https://www.viperenergy.com,"Viper Energy, Inc. owns, acquires, and exploits oil and natural gas properties in North America. It owns and acquires mineral and royalty interests in oil and natural gas properties primarily in the Permian Basin. Viper Energy Partners GP LLC operates as the general partner of the company. The company was formerly known as Viper Energy Partners LP and changed its name to Viper Energy, Inc. in November 2023. The company was founded in 2013 and is based in Midland, Texas. Viper Energy, Inc. is a subsidiary of Diamondback Energy, Inc.",Limited Partnership,Mr. Travis D. Stice,500 West Texas,Midland,79701,TX,United States,432 221 7400
CART,Carolina Trust Bancshares Inc,NASDAQ,XNGS,Consumer Cyclical,Internet Retail,3486,https://www.instacart.com,"Maplebear Inc., doing business as Instacart, provides online grocery shopping services to households in North America. It sells and delivers a range of products, such as food, alcohol, consumer health, pet care, ready-made meals, and others. The company offers its services through a mobile application and website. It also provides software-as-a-service solutions to retailers. The company was incorporated in 2012 and is based in San Francisco, California.",Common Stock,Ms. Fidji  Simo,50 Beale St,San Francisco,94105,CA,United States,888-246-7822
ARW,Arrow Electronics Inc,NYSE,XNYS,Technology,Electronics & Computer Distribution,22100,https://www.arrow.com,"Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial users of electronic components and enterprise computing solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates in two segments, Global Components and Global Enterprise Computing Solutions. The Global Components segment markets and distributes electronic components comprising semiconductor products and related services; interconnect, passive, and electromechanical products, including capacitors, resistors, potentiometers, power supplies, relays, switches, and connectors; and computing and memory products, as well as other products and services. The Global Enterprise Computing Solutions segment offers computing solutions, such as datacenter, cloud, security, and analytics solutions. This segment also provides access to various services, including engineering and integration support, warehousing and logistics, marketing resources, and authorized hardware and software training. The company serves original equipment manufacturers, value-added resellers, managed service providers, contract manufacturers, and other commercial customers. Arrow Electronics, Inc. was founded in 1935 and is based in Centennial, Colorado.",Common Stock,Mr. Sean J. Kerins,9201 East Dry Creek Road,Centennial,80112,CO,United States,303 824 4000
TNET,TriNet Group Inc,NYSE,XNYS,Industrials,Staffing & Employment Services,351142,https://www.trinet.com,"TriNet Group, Inc. provides comprehensive and flexible human capital management services for small and medium size businesses in the United States. The company offers multi-state payroll processing and tax administration; employee benefits programs, including health insurance and retirement plans; workers compensation insurance and claims management; employment and benefits law compliance; and other HR related services. It also provides technology platform, an online and mobile tool that allows users to store, view, and manager HR information and administer various HR transactions, such as payroll processing, tax administration and credits, employee onboarding and termination, employee performance, time and attendance, compensation reporting, expense management, and benefits enrollment and administration, as well as incorporated workforce analytics and allows professional employer organization clients to generate HR data, payroll, compensation, and other custom reports. The company serves clients in various industries, including technology, professional services, financial services, life sciences, and not-for-profit. It sells its solutions through its direct sales organization. TriNet Group, Inc. was incorporated in 1988 and is headquartered in Dublin, California.",Common Stock,Mr. Michael Quinn Simonds,One Park Place,Dublin,94568,CA,United States,510 352 5000
CR,Crane Co,NYSE,XNYS,Industrials,Specialty Industrial Machinery,7300,https://www.craneco.com,"Crane Company, together with its subsidiaries, manufactures and sells engineered industrial products in the United States, Canada, the United Kingdom, Continental Europe, and internationally. The company operates in three segments: Aerospace & Electronics, Process Flow Technologies, and Engineered Materials. The Aerospace & Electronics segment supplies critical components and systems, including original equipment and aftermarket parts for commercial aerospace, as well as the military aerospace, defense, and space markets. This segment also offers pressure sensors for aircraft engine control, aircraft braking systems for commercial aircraft and fighter jets, power conversion solutions for spacecraft, and lubrication systems. The Process Flow Technologies segment provides engineered fluid handling equipment for mission-critical applications. It offers process valves and related products, such as lined pipe, fittings and hoses, air-operated diaphragm and peristaltic pumps, instrumentation and sampling systems, valve positioning and control systems, and valve diagnostic and calibration systems; commercial valves; and pumps and systems. The Engineered Materials segment manufactures fiberglass-reinforced plastic panels and coils for use in the manufacturing of recreational vehicles, as well as in commercial and industrial building applications. This segment sells directly to RV, trailer, and truck manufacturers, as well as through distributors and retailers. The company provides its products and solutions to end markets, including commercial and military aerospace, defense, and space; chemical and pharmaceutical production; water and wastewater; non-residential and municipal construction; energy; and other general industrial and consumer-related applications. The company was formerly known as Crane Holdings, Co. Crane Company was founded in 1855 and is based in Stamford, Connecticut.",Common Stock,Mr. Max H. Mitchell,100 First Stamford Place,Stamford,06902,CT,United States,203 363 7300
SFM,Sprouts Farmers Market Inc,NASDAQ,XNGS,Consumer Defensive,Grocery Stores,32000,https://www.sprouts.com,"Sprouts Farmers Market, Inc., together with its subsidiaries, engages in the retailing of fresh, natural, and organic food products under the Sprouts brand in the United States. It offers perishable product categories, including fresh produce, meat and meat alternatives, seafood, deli, bakery, floral, and dairy and dairy alternatives; and non-perishable product categories, such as grocery, vitamins and supplements, bulk items, frozen foods, beer and wine, and natural health and body care. Sprouts Farmers Market, Inc. was founded in 1943 and is headquartered in Phoenix, Arizona.",Common Stock,Mr. Jack L. Sinclair,5455 East High Street,Phoenix,85054,AZ,United States,(480) 814-8016
CSAN,Cosan S.A.,NYSE,XNYS,Energy,Oil & Gas Refining & Marketing,0,https://www.cosan.com.br,"Cosan S.A. engages in the fuel distribution business in Brazil, Europe, Latin America, North America, Asia, and internationally. The company's Raízen segment distributes and markets fuels through a franchised network of service stations under the Shell brand; engages in the petroleum refining; operation of convenience stores; manufacture and sale of automotive and industrial lubricants; and production and sale of liquefied petroleum gas. This segment also markets various products derived from sugar cane, including raw sugar, and anhydrous and hydrated ethanol, as well as engages in activities related to energy cogeneration from sugarcane bagasse; sale of electricity; and holds interests in companies involved in research and development on new technology. The company's Gas and Power segment distributes piped natural gas to customers in the industrial, residential, commercial, automotive, and thermogeneration sectors; and engages in purchase and sale of electricity to other traders. Its Moove segment produces and distributes lubricants under the Mobil and Comma brands. The company's Logistics segment provides logistics services for rail transportation, storage and port loading of commodities, including grains and sugar; and leases locomotives, wagons, and another railroad equipment. Its Cosan Investments segment manages agricultural, mining, and logistics projects; and invests in climate tech fund. Cosan S.A. was founded in 1936 and is headquartered in São Paulo, Brazil.",Common Stock,Mr. Ricardo Dell Aquila Mussa,"Avenida Brigadeiro Faria Lima, 4100",São Paulo,04538-132,SP,Brazil,55 11 3897 9797
KVYO,"Klaviyo, Inc. Series A",NYSE,XNYS,Technology,Software - Infrastructure,1815,https://www.klaviyo.com,"Klaviyo, Inc., a technology company, provides a software-as-a-service platform in the United States, other Americas, the Asia-Pacific, Europe, the Middle East, and Africa. The company offers Klaviyo, a cloud-native platform for data store, segmentation engine, campaigns and flows, and messaging infrastructure. It also provides email to send personalized marketing emails, including drag-and-drop email templates to edit and customize pre-built templates; email campaigns and automations with smart send time features, generative artificial intelligence for subject line creation, A/B testing tools, and consumer list segmentation; short message services to send targeted marketing text messages to consumers, as well as built-in contact cards to ensure that texts does not appear as random numbers; and push, a personalized push notification to engage with consumer. In addition, the company offers other applications, such as reviews, which collect product reviews; and customer data platform that allows to manage, deploy, transform, and sync data. It serves its products to entrepreneurs, small and medium-sized businesses to mid-market businesses, and enterprises. The was incorporated in 2012 and is headquartered in Boston, Massachusetts.",Common Stock,Mr. Andrew  Bialecki,125 Summer Street,Boston,02111,MA,United States,617 213 1788
ATKR,Atkore International Group Inc,NYSE,XNYS,Industrials,Electrical Equipment & Parts,4816,https://www.atkore.com,"Atkore Inc. engages in the manufacture and sale of electrical, mechanical, safety, and infrastructure products and solutions in the United States and internationally. The company offers conduits, cables, and installation accessories. It also designs and manufactures protection and reliability solutions for critical infrastructure, such as metal framing, mechanical pipe, perimeter security, and cable management. The company offers its products under the Allied Tube & Conduit, AFC Cable Systems, Kaf-Tech, Heritage Plastics, Unistrut, Power-Strut, Cope, US Tray, FRE Composites, United Poly Systems, Calbond, and Calpipe. It serves various end markets, including new construction; maintenance, repair, and remodel; infrastructure; diversified industrials; alternative power generation; healthcare; data centers; and governments through electrical, industrial, and mechanical contractors, as well as original equipment manufacturers. The company was formerly known as Atkore International Group Inc. and changed its name to Atkore Inc. in February 2021. Atkore Inc. was founded in 1959 and is headquartered in Harvey, Illinois.",Common Stock,Mr. William E. Waltz Jr.,16100 South Lathrop Avenue,Harvey,60426,IL,United States,708 339 1610
AN,AutoNation Inc,NYSE,XNYS,Consumer Cyclical,Auto & Truck Dealerships,25300,https://www.autonation.com,"AutoNation, Inc., through its subsidiaries, operates as an automotive retailer in the United States. The company operates through three segments: Domestic, Import, and Premium Luxury. It offers a range of automotive products and services, including new and used vehicles; and parts and services, such as automotive repair and maintenance, and wholesale parts and collision services. The company also provides automotive finance and insurance products comprising vehicle services and other protection products; and indirect financing for vehicles, as well as arranges finance for vehicle purchases through third-party finance sources. It owns and operates new vehicle franchises from stores located primarily in metropolitan markets in the Sunbelt region, as well as AutoNation-branded collision centers, AutoNation USA used vehicle stores, AutoNation-branded automotive auction operations, and parts distribution centers. The company was formerly known as Republic Industries, Inc. and changed its name to AutoNation, Inc. in 1999. AutoNation, Inc. was incorporated in 1980 and is headquartered in Fort Lauderdale, Florida.",Common Stock,Mr. Michael M. Manley,200 SW 1st Avenue,Fort Lauderdale,33301,FL,United States,954 769 6000
POST,Post Holdings Inc,NYSE,XNYS,Consumer Defensive,Packaged Foods,11430,https://www.postholdings.com,"Post Holdings, Inc. operates as a consumer packaged goods holding company in the United States and internationally. It operates through four segments: Post Consumer Brands, Weetabix, Foodservice, and Refrigerated Retail. The Post Consumer Brands segment manufactures, markets, and sells branded and private label ready-to-eat (RTE) cereals under Honey Bunches of Oats, Pebbles, and Malt-O-Meal brand names; hot cereal; peanut butter under the Peter Pan brand; and branded and private label dog and cat food products under Rachael Ray Nutrish, Nature's Recipe, 9Lives, Kibbles 'n Bits and Gravy Train brand names. The Weetabix segment primarily manufactures, markets, and distributes branded and private label RTE cereal under Weetabix and Alpen brands; hot cereals and other cereal-based food products; breakfast drinks; protein-based shakes under the UFIT brand, and nutritional snacks, such as muesli. The Foodservice segment produces and distributes egg products primarily under Papetti's and Abbotsford Farms brands, as well as potato products in the foodservice and food ingredient channels. The segment also manufactures certain meat products. The Refrigerated Retail segment produces and distributes side dish, potato, sausage products under Bob Evans, Bob Evans Farms, and Simply Potatoes brands; eggs and egg products under Bob Evans Egg Whites and Egg Beaters brands; and cheese, and other dairy and refrigerated products under Crystal Farms brand. It serves grocery stores, mass merchandise customers, supercenters, club stores, natural/specialty stores, dollar stores, discounters, wholesalers, convenience stores, pet supply retailers, drug store customers, foodservice distributors, and national restaurant chains, as well as sells its products in the military, ecommerce, and foodservice channels. The company was founded in 1895 and is headquartered in Saint Louis, Missouri.",Common Stock,Mr. Robert V. Vitale,2503 South Hanley Road,Saint Louis,63144,MO,United States,314 644 7600
HXL,Hexcel Corp,NYSE,XNYS,Industrials,Aerospace & Defense,5590,https://www.hexcel.com,"Hexcel Corporation develops, manufactures, and markets carbon fibers, structural reinforcements, honeycomb structures, resins, and composite materials and parts for use in commercial aerospace, space and defense, and industrial applications. It operates through two segments, Composite Materials and Engineered Products. The Composite Materials segment manufactures and markets fabrics, multi-axials, specialty reinforcements, prepregs and other fiber-reinforced matrix materials, structural adhesives, molding compounds, tooling materials, polyurethane systems, and laminates that are used in military and commercial aircraft, wind turbine blades, recreational products, and other industrial applications, as well as in automotive, marine, and rail transportation. The Engineered Products segment manufactures and markets aircraft structures and finished aircraft components, including wing to body fairings, wing panels, flight deck panels, door liners, rotorcraft blades, spars, and tip caps; and aircraft structural sub-components and semi-finished components used in rotorcraft blades, engine nacelles, and aircraft surfaces, such as flaps, wings, elevators, and fairings; and RF interference control products for military and aerospace applications. This segment also provides interference control materials, structural composites, and services; dielectric absorber foams; magnetic absorbers; and thermoplastics for commercial and defense applications. The company sells its products directly through its managers, product managers, and sales personnel, as well as through independent distributors in the Americas, Europe, the Asia Pacific, India, and Africa. Hexcel Corporation was founded in 1946 and is headquartered in Stamford, Connecticut.",Common Stock,Mr. Nick L. Stanage,Two Stamford Plaza,Stamford,06901-3261,CT,United States,203 969 0666
VFC,VF Corp,NYSE,XNYS,Consumer Cyclical,Apparel Manufacturing,19800,https://www.vfc.com,"V.F. Corporation, together with its subsidiaries, engages in the design, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through three segments: Outdoor, Active, and Work. The company offers outdoor, merino wool and other natural fibers-based, lifestyle, and casual apparel; footwear; equipment; accessories; outdoor-inspired, performance-based, youth culture/action sports-inspired, streetwear, and protective work footwear; handbags, luggage, backpacks, and totes; and work and work-inspired lifestyle apparel and footwear. It provides its products under The North Face, Timberland, Smartwool, Icebreaker, Altra, Vans, Supreme, Kipling, Napapijri, Eastpak, JanSport, Dickies, and Timberland PRO brand names. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms. V.F. Corporation was founded in 1899 and is headquartered in Denver, Colorado.",Common Stock,Mr. Bracken P. Darrell,1551 Wewatta Street,Denver,80202,CO,United States,720 778 4000
SIGI,Selective Insurance Group Inc,NASDAQ,XNGS,Financial Services,Insurance—Property & Casualty,2650,https://www.selective.com,"Selective Insurance Group, Inc., together with its subsidiaries, provides insurance products and services in the United States. The company operates through four segments: Standard Commercial Lines, Standard Personal Lines, E&S Lines, and Investments. It offers casualty insurance products that covers the financial consequences of employee injuries in the course of employment and bodily injury and/or property damage to a third party; property insurance products, which covers the accidental loss of an insured's real property, personal property, and/or earnings due to the property's loss; and flood insurance products. The company also invests in fixed income investments and commercial mortgage loans, as well as equity securities, short-term investments, and alternative investments, and other investments. It offers its insurance products and services to businesses, non-profit organizations, local government agencies, and individuals through independent retail agents and wholesale general agents. The company was founded in 1926 and is headquartered in Branchville, New Jersey.",Common Stock,Mr. John Joseph Marchioni CPCU,40 Wantage Avenue,Branchville,07890,NJ,United States,973 948 3000
ATI,Allegheny Technologies Inc,NYSE,XNYS,Industrials,Metal Fabrication,7300,https://www.atimaterials.com,"ATI Inc. produces and sells specialty materials and complex components worldwide. It operates in two segments: High Performance Materials & Components (HPMC) and Advanced Alloys & Solutions (AA&S). The HPMC segment produces various materials, including titanium and titanium-based alloys, nickel- and cobalt-based alloys and superalloys, metallic powder alloys, advanced powder alloys and other specialty materials, in long product forms, such as ingot, billet, bar, rod, wire, shapes and rectangles, and seamless tubes, as well as precision forgings, components, and machined parts. The AA&S segment produces zirconium and related alloys, including hafnium and niobium, nickel-based alloys, titanium and titanium-based alloys, and specialty alloys in a variety of forms, such as plate, sheet, and precision rolled strip products. It also provides hot-rolling conversion services, including carbon steel products. ATI Inc. serves to aerospace and defense, energy, automotive, construction and mining, food equipment and appliances, and medical markets. The company was formerly known as Allegheny Technologies Incorporated. ATI Inc. was incorporated in 1996 and is headquartered in Dallas, Texas.",Common Stock,Mr. Robert S. Wetherbee,2021 McKinney Avenue,Dallas,75201,TX,United States,800 289 7454
BROS,Dutch Bros Inc.,NYSE,XNYS,Consumer Cyclical,Restaurants,16000,https://www.dutchbros.com,"Dutch Bros Inc. operates and franchises drive-thru shops in the United States. The company operates through Company-Operated Shops and Franchising and Other segments. It serves through company-operated shops and online channels. Dutch Bros Inc. was founded in 1992 and is headquartered in Grants Pass, Oregon.",Common Stock,Ms. Christine  Barone,110 SW 4th Street,Grants Pass,97526,OR,United States,541 955 4700
