valuations_metrics,financials,stock_statistics,stock_price_summary,dividends_and_splits,symbol,name,currency,exchange,mic_code,exchange_timezone
"{'market_capitalization': 122043, 'enterprise_value': 410151, 'trailing_pe': None, 'forward_pe': None, 'peg_ratio': None, 'price_to_sales_ttm': None, 'price_to_book_mrq': None, 'enterprise_to_revenue': None, 'enterprise_to_ebitda': -0.445}","{'fiscal_year_ends': '2007-12-31', 'most_recent_quarter': '2007-12-31', 'profit_margin': 0, 'operating_margin': 0, 'return_on_assets_ttm': -52.024704, 'return_on_equity_ttm': None, 'income_statement': {'revenue_ttm': 0, 'revenue_per_share_ttm': None, 'quarterly_revenue_growth': None, 'gross_profit_ttm': 0, 'ebitda': -920989, 'net_income_to_common_ttm': -2537054, 'diluted_eps_ttm': 0, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 90, 'total_cash_per_share_mrq': 0, 'total_debt_mrq': 343118, 'total_debt_to_equity_mrq': None, 'current_ratio_mrq': 0.006, 'book_value_per_share_mrq': -0.075}, 'cash_flow': {'operating_cash_flow_ttm': -580108, 'levered_free_cash_flow_ttm': 572291}}","{'shares_outstanding': 0, 'float_shares': None, 'avg_10_volume': 108275, 'avg_90_volume': 36641, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': None, 'percent_held_by_institutions': None}","{'fifty_two_week_low': 0.002, 'fifty_two_week_high': 0.014, 'fifty_two_week_change': -344.545, 'beta': -2.873, 'day_50_ma': 0.003244, 'day_200_ma': 0.0049982}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",ARVY,Alliance Recovery Corp.,USD,OTC,PINX,America/New_York
"{'market_capitalization': 5053906, 'enterprise_value': 18988343, 'trailing_pe': -0.08508333315451941, 'forward_pe': None, 'peg_ratio': 0.001559861107832856, 'price_to_sales_ttm': 0.12736543, 'price_to_book_mrq': 0.95652175, 'enterprise_to_revenue': 0.645, 'enterprise_to_ebitda': -4.559}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': -0.65276, 'operating_margin': -0.14294, 'return_on_assets_ttm': -0.08375, 'return_on_equity_ttm': -1.53161, 'income_statement': {'revenue_ttm': 29422193, 'revenue_per_share_ttm': 0.236, 'quarterly_revenue_growth': 0.099, 'gross_profit_ttm': 16445879, 'ebitda': -4165194, 'net_income_to_common_ttm': -19156376, 'diluted_eps_ttm': -0.16, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 5017400, 'total_cash_per_share_mrq': 0.03, 'total_debt_mrq': 20291171, 'total_debt_to_equity_mrq': 544.572, 'current_ratio_mrq': 2.453, 'book_value_per_share_mrq': 0.023}, 'cash_flow': {'operating_cash_flow_ttm': 2558212, 'levered_free_cash_flow_ttm': -6128745}}","{'shares_outstanding': 97267600, 'float_shares': 85235024, 'avg_10_volume': 63698, 'avg_90_volume': 106356, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0.01673, 'percent_held_by_institutions': 0.035940003}","{'fifty_two_week_low': 0.014, 'fifty_two_week_high': 0.052, 'fifty_two_week_change': -4.603, 'beta': 0.995, 'day_50_ma': 0.023388, 'day_200_ma': 0.0278287}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': '1-for-6 split', 'last_split_date': '2022-03-03'}",SLGWF,Slang Worldwide Inc.,USD,OTC,PINX,America/New_York
"{'market_capitalization': 10, 'enterprise_value': 338104, 'trailing_pe': -8.333374789689575e-05, 'forward_pe': None, 'peg_ratio': None, 'price_to_sales_ttm': None, 'price_to_book_mrq': 1.7857143e-05, 'enterprise_to_revenue': None, 'enterprise_to_ebitda': None}","{'fiscal_year_ends': '2019-07-31', 'most_recent_quarter': '2019-07-31', 'profit_margin': 0, 'operating_margin': 0, 'return_on_assets_ttm': -0.35652, 'return_on_equity_ttm': -10.82374, 'income_statement': {'revenue_ttm': 0, 'revenue_per_share_ttm': None, 'quarterly_revenue_growth': None, 'gross_profit_ttm': 0, 'ebitda': 0, 'net_income_to_common_ttm': -4000739, 'diluted_eps_ttm': -0.59, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 7376, 'total_cash_per_share_mrq': 0.001, 'total_debt_mrq': 345474, 'total_debt_to_equity_mrq': 83.01, 'current_ratio_mrq': 0.012, 'book_value_per_share_mrq': 0.056}, 'cash_flow': {'operating_cash_flow_ttm': -1046723, 'levered_free_cash_flow_ttm': -353023}}","{'shares_outstanding': 10094700, 'float_shares': 9425109, 'avg_10_volume': 500, 'avg_90_volume': 167, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0.025810001, 'percent_held_by_institutions': 0}","{'fifty_two_week_low': 0, 'fifty_two_week_high': 0, 'fifty_two_week_change': 0, 'beta': 2.281, 'day_50_ma': 0.0001, 'day_200_ma': 0.0001}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': '2020-08-26', 'ex_dividend_date': None, 'last_split_factor': '1-for-15 split', 'last_split_date': '2020-08-26'}",BUGVF,Primo Nutraceuticals Inc.,USD,OTC,PINX,America/New_York
"{'market_capitalization': 943673216, 'enterprise_value': 1046172216, 'trailing_pe': 12.972789, 'forward_pe': 7.5976095, 'peg_ratio': 7.5976095, 'price_to_sales_ttm': 1.360693, 'price_to_book_mrq': 2.7184606, 'enterprise_to_revenue': 1.8493802520117095, 'enterprise_to_ebitda': 5.386587319403969}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': 0.11869001, 'operating_margin': 0.18375, 'return_on_assets_ttm': 0.09433, 'return_on_equity_ttm': 0.24252, 'income_statement': {'revenue_ttm': 693523968, 'revenue_per_share_ttm': 13.163, 'quarterly_revenue_growth': 0.499, 'gross_profit_ttm': 232728000, 'ebitda': 131860000, 'net_income_to_common_ttm': 82313000, 'diluted_eps_ttm': 1.47, 'quarterly_earnings_growth_yoy': 1.088}, 'balance_sheet': {'total_cash_mrq': 41962000, 'total_cash_per_share_mrq': None, 'total_debt_mrq': 100550000, 'total_debt_to_equity_mrq': 27.205, 'current_ratio_mrq': 1.116, 'book_value_per_share_mrq': 7.015}, 'cash_flow': {'operating_cash_flow_ttm': 161036000, 'levered_free_cash_flow_ttm': 17333750}}","{'shares_outstanding': 43902100, 'float_shares': None, 'avg_10_volume': 859800, 'avg_90_volume': 842250, 'shares_short': 3864849, 'short_ratio': 4.03, 'short_percent_of_shares_outstanding': 0.16149999, 'percent_held_by_insiders': 0.10617, 'percent_held_by_institutions': 0.75839996}","{'fifty_two_week_low': 5.94, 'fifty_two_week_high': 22.7, 'fifty_two_week_change': 59.106, 'beta': None, 'day_50_ma': 18.5618, 'day_200_ma': 12.668}","{'forward_annual_dividend_rate': 0.552, 'forward_annual_dividend_yield': 0.028170451645828022, 'trailing_annual_dividend_rate': 0.513, 'trailing_annual_dividend_yield': 0.026180147996937995, '5_year_average_dividend_yield': None, 'payout_ratio': 0.33220002, 'dividend_date': '2024-03-15', 'ex_dividend_date': '2024-02-29', 'last_split_factor': None, 'last_split_date': None}",METC,Ramaco Resources Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 17042270, 'enterprise_value': 13605601, 'trailing_pe': -22.46875, 'forward_pe': None, 'peg_ratio': -0.00610592864663247, 'price_to_sales_ttm': 2.2265835, 'price_to_book_mrq': -19.399728555917484, 'enterprise_to_revenue': 1.778, 'enterprise_to_ebitda': 181.408}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': -0.0054900004, 'operating_margin': 0.0038299998, 'return_on_assets_ttm': -0.00808, 'return_on_equity_ttm': 0.6261127596439169, 'income_statement': {'revenue_ttm': 7654000, 'revenue_per_share_ttm': 3.082, 'quarterly_revenue_growth': 0.171, 'gross_profit_ttm': 5071000, 'ebitda': 75000, 'net_income_to_common_ttm': -42000, 'diluted_eps_ttm': -0.09, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 1749000, 'total_cash_per_share_mrq': 0.718, 'total_debt_mrq': 250000, 'total_debt_to_equity_mrq': -0.2714440825190011, 'current_ratio_mrq': 0.897, 'book_value_per_share_mrq': -0.382}, 'cash_flow': {'operating_cash_flow_ttm': 708000, 'levered_free_cash_flow_ttm': 676000}}","{'shares_outstanding': 2434610, 'float_shares': 1390578, 'avg_10_volume': 1660, 'avg_90_volume': 1350, 'shares_short': 22126, 'short_ratio': 5.13, 'short_percent_of_shares_outstanding': 0.0143, 'percent_held_by_insiders': 0.22642, 'percent_held_by_institutions': 0.109969996}","{'fifty_two_week_low': 0.25, 'fifty_two_week_high': 8.5, 'fifty_two_week_change': 94.576, 'beta': 0.762, 'day_50_ma': 6.204, 'day_200_ma': 4.03515}","{'forward_annual_dividend_rate': 0.14, 'forward_annual_dividend_yield': 0.019471488178025034, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': '2013-03-04', 'ex_dividend_date': '2013-02-15', 'last_split_factor': '1-for-16 split', 'last_split_date': '2023-09-08'}",ACFN,"Acorn Energy, Inc.",USD,OTC,PINX,America/New_York
"{'market_capitalization': 35554284, 'enterprise_value': 29329272, 'trailing_pe': None, 'forward_pe': None, 'peg_ratio': None, 'price_to_sales_ttm': 2.2302063, 'price_to_book_mrq': None, 'enterprise_to_revenue': 1.84, 'enterprise_to_ebitda': -56.078}","{'fiscal_year_ends': '2023-03-31', 'most_recent_quarter': '2023-03-31', 'profit_margin': -0.013710001, 'operating_margin': -0.03791, 'return_on_assets_ttm': -0.02113, 'return_on_equity_ttm': -0.01998, 'income_statement': {'revenue_ttm': 15942151, 'revenue_per_share_ttm': 1.594, 'quarterly_revenue_growth': -0.52, 'gross_profit_ttm': 7868571, 'ebitda': 2036160, 'net_income_to_common_ttm': -218584, 'diluted_eps_ttm': None, 'quarterly_earnings_growth_yoy': -0.854}, 'balance_sheet': {'total_cash_mrq': 7370501, 'total_cash_per_share_mrq': 0.648, 'total_debt_mrq': 1778524, 'total_debt_to_equity_mrq': 16.621, 'current_ratio_mrq': 3.213, 'book_value_per_share_mrq': None}, 'cash_flow': {'operating_cash_flow_ttm': 2467870, 'levered_free_cash_flow_ttm': 2333809}}","{'shares_outstanding': 11581200, 'float_shares': 2268175, 'avg_10_volume': 185650, 'avg_90_volume': 1757520, 'shares_short': 147129, 'short_ratio': 0.04, 'short_percent_of_shares_outstanding': 0.048, 'percent_held_by_insiders': 0.8006, 'percent_held_by_institutions': 0.00027000002}","{'fifty_two_week_low': 2.51, 'fifty_two_week_high': 30, 'fifty_two_week_change': -160.03, 'beta': None, 'day_50_ma': 6.580294, 'day_200_ma': 6.580294}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': None, 'trailing_annual_dividend_yield': None, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",CCTG,CCSC Technology International Holdings Limited,USD,NASDAQ,XNCM,America/New_York
"{'market_capitalization': 1786979968, 'enterprise_value': 2783277824, 'trailing_pe': 23.596027, 'forward_pe': 15.592998, 'peg_ratio': 15.592998, 'price_to_sales_ttm': 1.1853741, 'price_to_book_mrq': 1.9404733, 'enterprise_to_revenue': 1.846, 'enterprise_to_ebitda': 9.017}","{'fiscal_year_ends': '2023-02-28', 'most_recent_quarter': '2023-11-30', 'profit_margin': 0.05625, 'operating_margin': 0.13843, 'return_on_assets_ttm': 0.06546, 'return_on_equity_ttm': 0.10281, 'income_statement': {'revenue_ttm': 1507523968, 'revenue_per_share_ttm': 60.318, 'quarterly_revenue_growth': 0.022, 'gross_profit_ttm': 295943000, 'ebitda': 306727000, 'net_income_to_common_ttm': 76771000, 'diluted_eps_ttm': 3.02, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 7509000, 'total_cash_per_share_mrq': 0.299, 'total_debt_mrq': 1003569024, 'total_debt_to_equity_mrq': 108.947, 'current_ratio_mrq': 1.964, 'book_value_per_share_mrq': 36.723}, 'cash_flow': {'operating_cash_flow_ttm': 174488000, 'levered_free_cash_flow_ttm': 96009248}}","{'shares_outstanding': 25076900, 'float_shares': 24393526, 'avg_10_volume': 127450, 'avg_90_volume': 151283, 'shares_short': 366996, 'short_ratio': 2.17, 'short_percent_of_shares_outstanding': 0.0241, 'percent_held_by_insiders': 0.02434, 'percent_held_by_institutions': 0.91940004}","{'fifty_two_week_low': 34.586, 'fifty_two_week_high': 74.7, 'fifty_two_week_change': 43.459, 'beta': 1.264, 'day_50_ma': 64.2326, 'day_200_ma': 50.1573}","{'forward_annual_dividend_rate': 0.68, 'forward_annual_dividend_yield': 0.009545199326221226, 'trailing_annual_dividend_rate': 0.68, 'trailing_annual_dividend_yield': 0.009545199326221226, '5_year_average_dividend_yield': 1.57, 'payout_ratio': 0.2252, 'dividend_date': '2024-02-07', 'ex_dividend_date': '2024-01-29', 'last_split_factor': '2-for-1 split', 'last_split_date': '2012-07-31'}",AZZ,AZZ Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 4271885824, 'enterprise_value': 240009186, 'trailing_pe': 8.802631, 'forward_pe': 0.9114441, 'peg_ratio': 0.9114441, 'price_to_sales_ttm': 0.07438292, 'price_to_book_mrq': 0.10411966, 'enterprise_to_revenue': 0.078, 'enterprise_to_ebitda': 0.281}","{'fiscal_year_ends': '2023-06-30', 'most_recent_quarter': '2023-06-30', 'profit_margin': 0.15499, 'operating_margin': 0.2375, 'return_on_assets_ttm': 0.1351, 'return_on_equity_ttm': 0.25031, 'income_statement': {'revenue_ttm': 3058775008, 'revenue_per_share_ttm': 92.841, 'quarterly_revenue_growth': 0.351, 'gross_profit_ttm': 9740000000, 'ebitda': 11921000000, 'net_income_to_common_ttm': 474067270, 'diluted_eps_ttm': 0.76, 'quarterly_earnings_growth_yoy': 2.219}, 'balance_sheet': {'total_cash_mrq': 183001360, 'total_cash_per_share_mrq': 5.543, 'total_debt_mrq': 194558776, 'total_debt_to_equity_mrq': 9.138, 'current_ratio_mrq': 1.615, 'book_value_per_share_mrq': 64.253}, 'cash_flow': {'operating_cash_flow_ttm': 739142259, 'levered_free_cash_flow_ttm': 195038126}}","{'shares_outstanding': 619934976, 'float_shares': 433787472, 'avg_10_volume': 1300, 'avg_90_volume': 440, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0.121759996, 'percent_held_by_institutions': 0.53456}","{'fifty_two_week_low': 3.72, 'fifty_two_week_high': 6.7, 'fifty_two_week_change': 44.395, 'beta': 1.11, 'day_50_ma': 6.046, 'day_200_ma': 4.87765}","{'forward_annual_dividend_rate': 0.156, 'forward_annual_dividend_yield': 0.023318385450778967, 'trailing_annual_dividend_rate': 0.039, 'trailing_annual_dividend_yield': 0.005829596362694742, '5_year_average_dividend_yield': None, 'payout_ratio': 0.0523, 'dividend_date': None, 'ex_dividend_date': '2024-04-10', 'last_split_factor': None, 'last_split_date': None}",HGMCF,Harmony Gold Mining Company Ltd.,USD,OTC,PSGM,America/New_York
"{'market_capitalization': 133658640, 'enterprise_value': 111802616, 'trailing_pe': -0.8141263940520446, 'forward_pe': -6.0555553, 'peg_ratio': -6.0555553, 'price_to_sales_ttm': 0.5788945, 'price_to_book_mrq': 0.66809684, 'enterprise_to_revenue': 0.484, 'enterprise_to_ebitda': -5.141}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': -0.148, 'operating_margin': -0.14911, 'return_on_assets_ttm': -0.0817, 'return_on_equity_ttm': -0.15869, 'income_statement': {'revenue_ttm': 230886000, 'revenue_per_share_ttm': 3.78, 'quarterly_revenue_growth': -0.214, 'gross_profit_ttm': 70263000, 'ebitda': -21746000, 'net_income_to_common_ttm': -34171000, 'diluted_eps_ttm': -0.55, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 66617000, 'total_cash_per_share_mrq': 1.087, 'total_debt_mrq': 44761000, 'total_debt_to_equity_mrq': 22.373, 'current_ratio_mrq': 4.049, 'book_value_per_share_mrq': 3.263}, 'cash_flow': {'operating_cash_flow_ttm': 4855000, 'levered_free_cash_flow_ttm': 6447750}}","{'shares_outstanding': 61311300, 'float_shares': 57202210, 'avg_10_volume': 581890, 'avg_90_volume': 673537, 'shares_short': 2985552, 'short_ratio': 3.73, 'short_percent_of_shares_outstanding': 0.0506, 'percent_held_by_insiders': 0.059720002, 'percent_held_by_institutions': 0.47734}","{'fifty_two_week_low': 1.77, 'fifty_two_week_high': 5, 'fifty_two_week_change': -70.737, 'beta': 2.969, 'day_50_ma': 2.3496, 'day_200_ma': 2.8528}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",GRWG,GrowGeneration Corp,USD,NASDAQ,XNCM,America/New_York
"{'market_capitalization': 465331488, 'enterprise_value': 1429045376, 'trailing_pe': -8.934090896086259, 'forward_pe': None, 'peg_ratio': -0.029780302986954197, 'price_to_sales_ttm': 4.13996, 'price_to_book_mrq': 1.7301037, 'enterprise_to_revenue': 12.714, 'enterprise_to_ebitda': 157.627}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': -1.21202, 'operating_margin': -0.50598, 'return_on_assets_ttm': -0.0146, 'return_on_equity_ttm': -0.39051998, 'income_statement': {'revenue_ttm': 112400000, 'revenue_per_share_ttm': 1.083, 'quarterly_revenue_growth': -0.382, 'gross_profit_ttm': 104137000, 'ebitda': 63930000, 'net_income_to_common_ttm': -136263008, 'diluted_eps_ttm': -1.33, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 80062000, 'total_cash_per_share_mrq': 0.774, 'total_debt_mrq': 1042832000, 'total_debt_to_equity_mrq': 386.3, 'current_ratio_mrq': 2.687, 'book_value_per_share_mrq': 2.601}, 'cash_flow': {'operating_cash_flow_ttm': -8241000, 'levered_free_cash_flow_ttm': 1792375}}","{'shares_outstanding': 103407000, 'float_shares': None, 'avg_10_volume': 2870, 'avg_90_volume': 2178, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0.02421, 'percent_held_by_institutions': 0.00904}","{'fifty_two_week_low': 0.025, 'fifty_two_week_high': 5.75, 'fifty_two_week_change': 99.364, 'beta': None, 'day_50_ma': 4.6853, 'day_200_ma': 3.27045}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",PCOK,"Pacific Oak Strategic Opportunity REIT, Inc.",USD,OTC,PINX,America/New_York
"{'market_capitalization': 13076250, 'enterprise_value': -468968, 'trailing_pe': -0.2559744435115598, 'forward_pe': None, 'peg_ratio': 0.025330903396022085, 'price_to_sales_ttm': 7.6469297, 'price_to_book_mrq': 0.585969557195572, 'enterprise_to_revenue': -2.813, 'enterprise_to_ebitda': 0.107}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': -18.362903225806452, 'operating_margin': -986, 'return_on_assets_ttm': -0.89282995, 'return_on_equity_ttm': -3.20203, 'income_statement': {'revenue_ttm': 166725, 'revenue_per_share_ttm': 0.1, 'quarterly_revenue_growth': -0.9583333333333334, 'gross_profit_ttm': -20493000, 'ebitda': -4392277, 'net_income_to_common_ttm': -4530142, 'diluted_eps_ttm': -0.22, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 3183862, 'total_cash_per_share_mrq': 1.907, 'total_debt_mrq': 1462500, 'total_debt_to_equity_mrq': 73.801, 'current_ratio_mrq': 1.892, 'book_value_per_share_mrq': 1.2799299738188985}, 'cash_flow': {'operating_cash_flow_ttm': -4172025, 'levered_free_cash_flow_ttm': -2520935}}","{'shares_outstanding': 17126800, 'float_shares': 9327401, 'avg_10_volume': 100, 'avg_90_volume': 33, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0.41516, 'percent_held_by_institutions': 0.0422}","{'fifty_two_week_low': 0.75, 'fifty_two_week_high': 1.21, 'fifty_two_week_change': -61.333, 'beta': 0.716, 'day_50_ma': 0.75, 'day_200_ma': 0.9087}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",WYLDF,WYLD NETWORKS AB,USD,OTC,OTCB,America/New_York
"{'market_capitalization': 61, 'enterprise_value': 25666848, 'trailing_pe': 0.00049999997, 'forward_pe': None, 'peg_ratio': None, 'price_to_sales_ttm': 4.87741e-07, 'price_to_book_mrq': 4.032258e-06, 'enterprise_to_revenue': 0.205, 'enterprise_to_ebitda': 5.394}","{'fiscal_year_ends': '2007-12-31', 'most_recent_quarter': '2007-12-31', 'profit_margin': 0.00368, 'operating_margin': 0.040599998, 'return_on_assets_ttm': 0.053400002, 'return_on_equity_ttm': 0.040760003, 'income_statement': {'revenue_ttm': 125066336, 'revenue_per_share_ttm': 2.316, 'quarterly_revenue_growth': -0.118, 'gross_profit_ttm': 0, 'ebitda': 4758030, 'net_income_to_common_ttm': 118266, 'diluted_eps_ttm': 0.002, 'quarterly_earnings_growth_yoy': -0.946}, 'balance_sheet': {'total_cash_mrq': 2435153, 'total_cash_per_share_mrq': 0.039, 'total_debt_mrq': 28101384, 'total_debt_to_equity_mrq': 183.377, 'current_ratio_mrq': 1.355, 'book_value_per_share_mrq': 0.248}, 'cash_flow': {'operating_cash_flow_ttm': -5040458, 'levered_free_cash_flow_ttm': -7425533}}","{'shares_outstanding': 61719000, 'float_shares': None, 'avg_10_volume': 6685, 'avg_90_volume': 2805, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': None, 'percent_held_by_institutions': None}","{'fifty_two_week_low': 0, 'fifty_two_week_high': 0, 'fifty_two_week_change': -900, 'beta': -58.433, 'day_50_ma': 5.5e-06, 'day_200_ma': 5.5e-06}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': None, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",SOYO,"SOYO Group, Inc.",USD,OTC,PSGM,America/New_York
"{'market_capitalization': 53818172, 'enterprise_value': 49279496, 'trailing_pe': -0.30606488011283495, 'forward_pe': -1.6564887, 'peg_ratio': -1.6564887, 'price_to_sales_ttm': 314.72617, 'price_to_book_mrq': -2.277694240928425, 'enterprise_to_revenue': 288.184, 'enterprise_to_ebitda': -0.9145817898370513}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': 0, 'operating_margin': -248.41936, 'return_on_assets_ttm': -3.0740302, 'return_on_equity_ttm': 3.2142893804855515, 'income_statement': {'revenue_ttm': 171000, 'revenue_per_share_ttm': 0.008, 'quarterly_revenue_growth': -0.354, 'gross_profit_ttm': 0, 'ebitda': 0, 'net_income_to_common_ttm': -53741000, 'diluted_eps_ttm': -4.38, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 1772000, 'total_cash_per_share_mrq': 0.075, 'total_debt_mrq': 0, 'total_debt_to_equity_mrq': 0, 'current_ratio_mrq': 0.104, 'book_value_per_share_mrq': -0.85}, 'cash_flow': {'operating_cash_flow_ttm': -56057000, 'levered_free_cash_flow_ttm': -34773376}}","{'shares_outstanding': 24101000, 'float_shares': 19706818, 'avg_10_volume': 475770, 'avg_90_volume': 593203, 'shares_short': 3450300, 'short_ratio': 4.78, 'short_percent_of_shares_outstanding': 0.1575, 'percent_held_by_insiders': 0.10578, 'percent_held_by_institutions': 0.2133}","{'fifty_two_week_low': 1.3, 'fifty_two_week_high': 4.61, 'fifty_two_week_change': -93.103, 'beta': 0.997, 'day_50_ma': 2.0112, 'day_200_ma': 2.242125}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': '1-for-10 split', 'last_split_date': '2022-12-06'}",CKPT,Checkpoint Therapeutics Inc,USD,NASDAQ,XNCM,America/New_York
"{'market_capitalization': 2074870528, 'enterprise_value': 2722201344, 'trailing_pe': 52.341, 'forward_pe': None, 'peg_ratio': -3.137668479999999, 'price_to_sales_ttm': 3.2317698, 'price_to_book_mrq': 1.2099167, 'enterprise_to_revenue': 4.24, 'enterprise_to_ebitda': 10.367}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': 0.06163, 'operating_margin': -0.45966, 'return_on_assets_ttm': 0.023540001, 'return_on_equity_ttm': 0.02419, 'income_statement': {'revenue_ttm': 642022976, 'revenue_per_share_ttm': 1.62, 'quarterly_revenue_growth': -0.756, 'gross_profit_ttm': 387015000, 'ebitda': 528642000, 'net_income_to_common_ttm': 39571000, 'diluted_eps_ttm': 0.1, 'quarterly_earnings_growth_yoy': None}, 'balance_sheet': {'total_cash_mrq': 99826000, 'total_cash_per_share_mrq': 0.252, 'total_debt_mrq': 726670016, 'total_debt_to_equity_mrq': 41.876, 'current_ratio_mrq': 1.588, 'book_value_per_share_mrq': 4.326}, 'cash_flow': {'operating_cash_flow_ttm': 111563000, 'levered_free_cash_flow_ttm': 21577750}}","{'shares_outstanding': 396414016, 'float_shares': 237673830, 'avg_10_volume': 7000, 'avg_90_volume': 2960, 'shares_short': None, 'short_ratio': None, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0.40043998, 'percent_held_by_institutions': 0.092259996}","{'fifty_two_week_low': 3.32, 'fifty_two_week_high': 5.59, 'fifty_two_week_change': 36.09, 'beta': 1.925, 'day_50_ma': 4.32, 'day_200_ma': 4.13675}","{'forward_annual_dividend_rate': 1.48, 'forward_annual_dividend_yield': 0.2781954887218045, 'trailing_annual_dividend_rate': 0.37, 'trailing_annual_dividend_yield': 0.06954887218045112, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': '2023-06-15', 'ex_dividend_date': '2023-04-19', 'last_split_factor': None, 'last_split_date': None}",JINFF,China Gold International Resources Corp. Ltd.,USD,OTC,PINX,America/New_York
