fiscal_date,end_cash_position,income_tax_paid,interest_paid,free_cash_flow,operating_activities.net_income,operating_activities.depreciation,operating_activities.deferred_taxes,operating_activities.stock_based_compensation,operating_activities.other_non_cash_items,operating_activities.accounts_receivable,operating_activities.accounts_payable,operating_activities.other_assets_liabilities,operating_activities.operating_cash_flow,investing_activities.capital_expenditures,investing_activities.net_intangibles,investing_activities.net_acquisitions,investing_activities.purchase_of_investments,investing_activities.sale_of_investments,investing_activities.other_investing_activity,investing_activities.investing_cash_flow,financing_activities.long_term_debt_issuance,financing_activities.long_term_debt_payments,financing_activities.short_term_debt_issuance,financing_activities.common_stock_issuance,financing_activities.common_stock_repurchase,financing_activities.common_dividends,financing_activities.other_financing_charges,financing_activities.financing_cash_flow,symbol,name,currency,exchange,mic_code,exchange_timezone,period
2023-03-31,1480900000000,,,-298944000000,1180313000000,1004590000000,4183000000,,608009000000,-70448000000,-109336000000,-1991512000000,625799000000,-602040000000,,-282181000000,-191129000000,13548000000,9138000000,-1052664000000,361776000000,-132198000000,32391000000,,-99248000000,-86568000000,8147000000,84300000000,SONY,Sony Group Corporation,JPY,NYSE,XNYS,America/New_York,Annual
2020-12-31,568900000,82100000,141800000,580600000,579800000,162700000,33900000,18900000,43900000,-71800000,61800000,-128900000,700300000,0,-47200000.0,-65600000,-47200000,,-20400000,-133200000,27100000,-100000000,97000000,24700000,-58400000,-228500000,-12200000,-250300000,FMC,FMC Corp,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,516800000,139200000,125800000,720000000,805300000,170900000,10600000,17800000,-5100000,-241100000,144400000,-123400000,779400000,0,,-5200000,-12700000,,-13700000,-31600000,1000000000,-1203100000,104900000,7900000,-408000000,-247200000,-2400000,-747900000,FMC,FMC Corp,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,572000000,122000000,144000000,440100000,838700000,169400000,-52700000,24200000,26000000,-443900000,165300000,-149100000,577900000,50500000,,-198200000,0,,23600000,-124100000,0,-1400000,115200000,9400000,-108900000,-267500000,15800000,-237400000,FMC,FMC Corp,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,302400000,180100000,229600000,-520300000,1419500000,184300000,-1292800000,25900000,145100000,192400000,-626000000,-385600000,-337200000,5800000,,-16500000,0,,-9800000,-20500000,1498600000,-1200000000,400700000,5300000,-81200000,-290500000,-1400000,331500000,FMC,FMC Corp,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,24845000,,1546000,94997000,103528000,91242000,-60520000,6156000,46092000,24945000,,,211443000,-63799000,,0,,,,-63799000,0,-125102000,-80000000,,,0,-1145000,-206247000,CIVI,"Civitas Resources, Inc.",USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,254556000,14000000.0,1829000,123099000,178921000,226931000,72858000,15558000,-278798000,-100881000,,,114589000,-149107000,,222442000,,,212000.0,73547000,400000000,-589021000,-434000000,,0.0,-60780000,-25219000,-709020000,CIVI,"Civitas Resources, Inc.",USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,768134000,97800000.0,28528000,1411913000,1248080000,816446000,337502000,31367000,-594206000,-941000,,,1838248000,-1062773000,,-236160000,,,-7162000.0,-1306095000,0,-200000000,0,,0.0,-536922000,-20754000,-757676000,CIVI,"Civitas Resources, Inc.",USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,1126815000,50049000.0,37112000,729625000,784288000,1171192000,245163000,34931000,-94094000,-39869000,,,2101611000,-1418679000,,-3816862000,,,-7614000.0,-5243155000,3653750000,-1371211000,750000000,,-320398000.0,-660320000,-59204000,1992617000,CIVI,"Civitas Resources, Inc.",USD,NYSE,XNYS,America/New_York,Annual
2020-06-30,142617000,74918000,21817000,429665000,380297000,7695000,-1194000,2888000,3271000,13883000,116900000,-27198000,496542000,-30619000,,0.0,-27538000,127741000,,69584000,427500000.0,-270000000,157500000,,-700125000,-78682000,-4270000,-468077000,UI,Ubiquiti Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-06-30,249418000,139623000,11811000,593697000,616584000,12100000,-674000,3029000,2834000,-30136000,-43343000,60353000,620747000,-18325000,,0.0,-1863000,922000,,-19266000,,-273750000,-161250000,,-219762000,-100813000,-4255000,-759830000,UI,Ubiquiti Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-06-30,136224000,78180000,11561000,356791000,378657000,13689000,-1842000,3516000,1994000,52657000,-28686000,-33158000,386827000,-13468000,,,-1479000,3767000,,-11180000,,-50000000,295000000,,-618131000,-148055000,-1185000,-522371000,UI,Ubiquiti Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-06-30,114826000,109685000,53870000,-166362000,407641000,16292000,-16857000,4734000,2132000,-48200000,69730000,-489243000,-53771000,-20934000,,,0,0,,-20934000,,-373125000,291875000,,0,-145043000,-1891000,-228184000,UI,Ubiquiti Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-09-30,215012000,1376000,76670000,2767000,-122233000,99781000,-10110000,117084000,6994000,-17656000,-4361000,-13840000,55659000,-95341000,0,-18453000,,,,-113794000,346500000,-1136765000,129000000,820467000.0,0,,-34745000,124457000,AZEK,AZEK Co Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2021-09-30,250536000,4620000,17119000,32560000,93150000,101604000,25529000,22250000,3022000,-6772000,16071000,-57560000,197294000,-175073000,0,0,,,,-175073000,0,-1921000,0,0.0,0,,-1149000,-3070000,AZEK,AZEK Co Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2022-09-30,120817000,10549000,14899000,-66603000,75225000,118533000,19684000,27512000,5363000,-8545000,-32146000,-94932000,110694000,-170289000,-1500000,-108387000,,,,-278676000,595500000,-511519000,0,0.0,-81912000,,-3442000,-1373000,AZEK,AZEK Co Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2023-09-30,278314000,34480000,41728000,273997000,67955000,132544000,-9487000,18518000,1396000,31768000,22596000,80560000,345850000,-88343000,0,-161000,,,,-88504000,0,-27619000,0,,-117026000,,-11850000,-156495000,AZEK,AZEK Co Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,10160168000,16379000,9052000,521678000,-3470480000,63669000,,3254335000,,64712000,5859000,45629000,-36276000,-31661000,,-17728000,-9511735000,6703919000,166310000.0,-2690895000,,-1810140000,-500000000,11081037000,-557836000,,-388700000,7824361000,YMM,Full Truck Alliance Co. Ltd.,CNY,NYSE,XNYS,America/New_York,Annual
2021-12-31,4363613000,49612000,65000,-254639000,-3654528000,67422000,,3628602000,-25878000.0,-549644000,5314000,29147000,-499565000,-36062000,,-230481000,-24227599000,10095169000,,-14398973000,,0,0,11444831000,-2585437000,,42100000,8901494000,YMM,Full Truck Alliance Co. Ltd.,CNY,NYSE,XNYS,America/New_York,Annual
2022-12-31,5221071000,110491000,175000,-101206000,411900000,88343000,,919255000,16278000.0,-1043910000,-1428000,32869000,423307000,-84951000,,-75084000,-84610285000,86901541000,,2131221000,,-9000000,-9000000,0,-1392375000,,71192000,-1339183000,YMM,Full Truck Alliance Co. Ltd.,CNY,NYSE,XNYS,America/New_York,Annual
2020-12-31,79754000,,109990000,-326987000,-460821000,215082000,26526000,8732000,23229000,50501000,,-4180000,-140931000,-165463000,,-8868000,,,1683000,-172648000,106000000,-5000000,,0,,-102331000,-5139000,-6470000,RHP,Ryman Hospitality Properties Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,163000000,,110747000,11827000,-194801000,220357000,4006000,12104000,8790000,-54639000,,-539000,-4722000,-99426000,,-196500000,,,6188000,-289738000,684000000,-405000000,,0,,-502000,-16767000,261731000,RHP,Ryman Hospitality Properties Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,444330000,,135284000,330411000,134948000,208616000,8244000,14985000,9829000,-40686000,,6600000,342536000,-89520000,,-103992000,,,4199000,-189313000,288000000,-497270000,,0,,-5855000,265837000,50712000,RHP,Ryman Hospitality Properties Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,700441000,,180996000,350280000,341800000,211227000,-95825000,15421000,10663000,21550000,,-6608000,498228000,-206776000,,-801966000,,,-4074000,-1012816000,905000000,-384515000,,395444000,,-176001000,-28057000,711871000,RHP,Ryman Hospitality Properties Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,3998203000,0,0.0,257700000,-941895000,108041000,0,124105000,533131000.0,-8139000,-22746000,513715000,306212000,-138175000,,0,-1834390000,2439870000,,467305000,0.0,0.0,,2882112000,0,,,2882112000,BZ,Kanzhun Limited,CNY,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,11341758000,0,0.0,1381490000,-1071074000,189436000,0,417284000,1506362000.0,9500000,13464000,654827000,1719799000,-259862000,,0,-3940000000,3598000000,,-601862000,0.0,0.0,,6406872000,-11584000,,,6395288000,BZ,Kanzhun Limited,CNY,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,9751824000,101293000,,662922000,107245000,287400000,9324000,692204000,,-5081000,10179000,-41410000,1059861000,-339796000,,-9928000,-5213058000,2746201000,,-2816581000,,,,0,-918894000,,,-918894000,BZ,Kanzhun Limited,CNY,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,282199000,10184000,102997000,329553000,178325000,105602000,-810000,31742000,18241000,1300000,,-4293000,330107000,-20717000,,-250000,,,10000.0,-20957000,300000000,-176350000,,,-2877000,-312315000,-10945000,-202487000,TKO,"TKO Group Holdings, Inc. Class A Common Stock",USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,874688000,18579000,84154000,430104000,273625000,63250000,-2368000,63855000,18452000,4396000,,-5479000,415731000,-11131000,,-499000,,,150000.0,-11480000,594300000,-207897000,,,0,-269079000,-7905000,109419000,TKO,"TKO Group Holdings, Inc. Class A Common Stock",USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,180574000,14794000,118315000,489319000,389022000,60032000,2334000,23744000,25173000,-26404000,,4668000,478569000,-12404000,,-875000,,,15000.0,-13264000,0,-82600000,,,0,-1095904000,-2877000,-1181381000,TKO,"TKO Group Holdings, Inc. Class A Common Stock",USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,235839000,23202000,226503000,419748000,175723000,164616000,6831000,57109000,35715000,15066000,,-25321000,429739000,-48633000,,381918000,,,,333285000,100000000,-133406000,,,-100000000,-296587000,5521000,-424472000,TKO,"TKO Group Holdings, Inc. Class A Common Stock",USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,301964000,24382000,508000,263482000,100837000,70704000,-16043000.0,14437000,-516000,29710000,8473000,25887000,233489000,,,-33085000,-632364000,497969000,2851000,-164629000,,0.0,,6071000,0,-38437000,-12607000,-44973000,NYT,New York Times Co-The,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,334306000,66443000,546000,234461000,219971000,66990000,-6358000.0,22215000,6851000,-49216000,39696000,8969000,309118000,,,0,-763425000,613539000,3716000,-146170000,,0.0,,2454000,0,-45337000,-12064000,-54947000,NYT,New York Times Co-The,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,235173000,110161000,1583000,113726000,173905000,92577000,,35306000,3820000,20889000,-111216000,-20376000,194905000,,,-515586000,-8480000,484984000,2482000,-36600000,,,,3000,-105056000,-56790000,-12463000,-174306000,NYT,New York Times Co-The,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,303172000,71814000,708000,337949000,232752000,95347000,,54776000,2284000,-24955000,-7321000,25106000,377989000,,,0,-286448000,144673000,4754000,-137021000,,,,0,-44553000,-69464000,-18693000,-132710000,NYT,New York Times Co-The,USD,NYSE,XNYS,America/New_York,Annual
2021-01-31,2016000000,20000000.0,145000000,-155000000,-665000000,507000000,-137000000,77000000,12000000,,564000000,-418000000,-60000000,-392000000,,0,-508000000,388000000,2000000.0,-510000000,2750000000,-1807000000,0.0,,0,0,-70000000,873000000,GPS,Gap Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2022-01-31,902000000,215000000.0,180000000,115000000,256000000,504000000,-61000000,139000000,45000000,,186000000,-740000000,329000000,-694000000,,-156000000,-753000000,1162000000,-5000000.0,-446000000,1500000000,-2546000000,1500000000.0,,-201000000,-226000000,-52000000,-25000000,GPS,Gap Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2023-01-31,1273000000,,76000000,-78000000,-202000000,540000000,42000000,37000000,-10000000,,-540000000,563000000,430000000,-227000000,,0,0,0,,-227000000,350000000,0,,,-123000000,-220000000,-28000000,-21000000,GPS,Gap Inc-The,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,241547000,12666000,731000,26789000,-10500000,23806000,-10350000,21355000,12206000,-11032000,-1839000,5738000,29384000,,-2133000.0,-41028000,,,-1971000,-42999000,30000000,0,0.0,0,0,,-460000,29540000,ALTR,Altair Engineering Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,414012000,9168000,633000,53774000,-8794000,25644000,-1502000,44549000,12699000,-15645000,-3857000,3429000,56523000,,-344000.0,-53983000,,,-650000,-54633000,0,-30000000,,200000000,0,,-537000,169463000,ALTR,Altair Engineering Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,316958000,8941000,2425000,29922000,-43429000,35504000,-4164000,84787000,11647000,-34175000,3771000,43798000,97739000,,,-134541000,,,-10322000,-144863000,224265000,-192422000,,0,-19659000,,-1756000,10428000,ALTR,Altair Engineering Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,467576000,11291000,4242000,117114000,-8926000,39124000,-2319000,85581000,7649000,-19141000,-1878000,18281000,118371000,,,-3236000,,,-2423000,-5659000,0,0,,0,-6255000,,-97000,-6352000,ALTR,Altair Engineering Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,629336000,58000,27255000,-282561000,-263965000,33303000,2754000,8743000,33974000,-26795000,55514000,-659000,-157131000,,,0,,0,-636000,-636000,2095269000,-1490002000,,291992000.0,,-33742000,-44019000,819498000,NFE,New Fortress Energy LLC,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,264030000,17319000,154249000,-584578000,92711000,99544000,-8825000,37043000,2939000,-123583000,17527000,-41792000,75564000,,,-1594859000,,0,-9354000,-1604213000,2434650000,-461015000,,0.0,,-88756000,-67935000,1816944000,NFE,New Fortress Energy LLC,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,855083000,151210000,160618000,-818897000,184786000,143589000,-279536000,30382000,-61336000,-139938000,67741000,-32605000,-86917000,,,500076000,,593000000,-1794000,1091282000,2032020000,-1520813000,,0.0,,-99050000,-90200000,321957000,NFE,New Fortress Energy LLC,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,310814000,52897000,100304000,-2205078000,548876000,187324000,14938000,1573000,-128970000,-41019000,78065000,152334000,813121000,,,100000000,,0,25691000,125691000,3005387000,-686508000,,,,-723962000,-65967000,1528950000,NFE,New Fortress Energy LLC,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,438000000,82000000,45000000,562000000,-73000000,334000000,-62000000,47000000,3000000,131000000,-28000000,68000000,420000000,1000000,0.0,-1077000000,-1000000.0,58000000,,-1019000000,1448000000,-701000000,2000000,,-228000000,-88000000,-56000000,377000000,XRAY,DENTSPLY SIRONA Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,339000000,148000000,64000000,515000000,411000000,346000000,-25000000,48000000,7000000,-117000000,-49000000,-45000000,576000000,0,,-220000000,,2000000,2000000.0,-216000000,16000000,-297000000,179000000,,-200000000,-92000000,-36000000,-430000000,XRAY,DENTSPLY SIRONA Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,365000000,122000000,70000000,368000000,-950000000,328000000,-228000000,59000000,50000000,85000000,30000000,-154000000,-780000000,0,,0,,13000000,-2000000.0,11000000,6000000,-2000000,-64000000,,-150000000,-104000000,-21000000,-335000000,XRAY,DENTSPLY SIRONA Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,334000000,177000000,97000000,228000000,-132000000,343000000,-130000000,46000000,28000000,-58000000,14000000,29000000,140000000,7000000,,13000000,,39000000,1000000.0,60000000,0,-7000000,126000000,,-300000000,-116000000,-10000000,-307000000,XRAY,DENTSPLY SIRONA Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,182544000,15233000,54980000,88965000,-248919000,123129000,-46883000,261995000,11106000,-4725000,-1052000,-46431000,48220000,-38321000.0,-38370000,-10228000,0.0,0,,-48549000,789927000,-1336153000,0.0,1007000,0,-269174000,750868000,-63525000,CCCS,CCC Intelligent Solutions Holdings Inc.,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,323788000,55697000,36636000,151956000,38406000,127149000,-34401000,109497000,5836000,-19844000,15516000,-14172000,227987000,,-47951000,-32242000,,3901000,,-28341000,0,-8000000,0.0,0,0,0,-5015000,-13015000,CCCS,CCC Intelligent Solutions Holdings Inc.,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,195572000,42948000,61367000,195001000,-90071000,135338000,-46333000,144518000,3838000,-4001000,-11270000,13313000,145332000,,-55032000,0,,0,,0,0,-8000000,,0,-328453000,0,-16715000,-353168000,CCCS,CCC Intelligent Solutions Holdings Inc.,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,149692000,1656000,,72095000,45586000,18665000,4241000,18936000,-109000,-5922000,1214000,-249000,82362000,-16467000,,-98666000,-74797000,69461000,,-120469000,,,,,-18950000,,-688000.0,-19638000,SPSC,SPS Commerce Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,207552000,9979000,,93305000,44597000,24914000,3881000,27574000,323000,-4959000,2259000,-4386000,94203000,-19588000,,-17066000,-121242000,111193000,,-46703000,,,,,-20430000,,-2042000.0,-22472000,SPSC,SPS Commerce Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,162893000,16076000,,80172000,55134000,28189000,-3732000,33399000,220000,-6435000,144000,-979000,105940000,-19880000,,-91420000,-160427000,158937000,,-112790000,,,,,-43215000,,,-43215000,SPSC,SPS Commerce Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,219081000,29207000,,112537000,65824000,34747000,-10079000,45508000,2415000,-11949000,-3947000,-4373000,118146000,-19761000,,-70218000,-133994000,131331000,,-92642000,,,,,0,,-2000000.0,-2000000,SPSC,SPS Commerce Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,20339000,,58704000,179098000,206795000,219079000,,11681000,-11309000,-4482000,7157000,11702000,440623000,-3984000,-110840000,27000.0,,,4343000,386000,400000000,-1255983000,-39000000.0,438499000,0,-224283000,-1554000,-682321000,STAG,STAG Industrial Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,23196000,,58392000,175772000,196432000,240750000,,14955000,-14585000,-36000,6763000,16540000,460819000,-5627000,-154755000,,,,2516000,-3111000,4115000000,-3603225000,189000000.0,706991000,-75000000,-245722000,-9579000,1077465000,STAG,STAG Industrial Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,26789000,,72740000,335216000,182234000,274688000,,12068000,-13863000,-6438000,13531000,3264000,465484000,-3541000,-49174000,,,,3280000,-261000,2063000000,-1780943000,-121000000.0,54753000,0,-266817000,-5211000,-56218000,STAG,STAG Industrial Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,21868000,,89979000,372630000,197201000,277560000,,11486000,-12743000,1915000,-9237000,2880000,469062000,0,-18462000,,,,4361000,4361000,1167000000,-1043503000,,69485000,0,-267567000,-270000,-74855000,STAG,STAG Industrial Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,1839300000,223800000,93100000,1115300000,807500000,203500000,,188500000,170000000,3744400000,,214900000.0,5328800000,-115000000,,0.0,-4702200000,3931000000,,-886200000,1268000000,-791100000,0.0,,-47100000,-594200000,-121500000,-285900000,IVZ,Invesco Ltd,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,2147100000,431700000,85700000,969300000,1969400000,205300000,,140100000,-448300000,5581200000,,,7447700000,-108800000,,0.0,-6194700000,5410700000,,-892800000,3411900000,-2497300000,0.0,,-60900000,-544500000,117500000,426700000,IVZ,Invesco Ltd,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,1434100000,301400000,67400000,510300000,925500000,195300000,,106200000,-247300000,912800000,,,1892500000,-192900000,,,-2951600000,2736300000,,-408200000,30100000,-605100000,,,-244700000,-571600000,424400000,-966900000,IVZ,Invesco Ltd,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,1931600000,195100000,68200000,1136500000,-168200000,182800000,,114600000,-78700000,448700000,,,499200000,-164300000,,,-3287900000,3138400000,46200000.0,-267600000,703000000,-451800000,,,-187500000,-594700000,-54400000,-585400000,IVZ,Invesco Ltd,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,1449700000,81600000,182900000,850500000,225400000,652000000,30300000,49700000,-429900000,210800000,49300000,126200000,913800000,-125800000,,0,-4412900000,0.0,38500000,-4500200000,1112600000,-284100000,-8600000,0.0,-47400000,-372700000,-19100000,380700000,HAS,Hasbro Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,1019200000,160500000,171900000,685200000,435300000,908700000,36000000,97800000,-616300000,-159500000,313200000,-255400000,759800000,-132700000,,378500000,0,0.0,-3800000,242000000,144000000,-1220100000,-5600000,0.0,0,-374500000,-34200000,-1490400000,HAS,Hasbro Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,513100000,177200000,161700000,198700000,203000000,788100000,-130100000,83400000,-719300000,339600000,-278700000,-233200000,52800000,-174200000,,0,-146300000,,7500000,-313000000,3800000,-206000000,141700000,,-125000000,-385300000,-56700000,-627500000,HAS,Hasbro Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,545400000,119800000,179000000,516300000,-1487800000,659600000,-243500000,72400000,-322900000,15500000,-109700000,261100000,-1155300000,-209300000,,329600000,0,,-2700000,117600000,2600000,-359600000,-41600000,,0,-388000000,-31500000,-818100000,HAS,Hasbro Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,81720000,36779000,66216000,340726000,300330000,350178000,15814000,23222000,46211000,22362000,,-27577000,730540000,2797000,-3810000,-29793000,,0.0,293000.0,-26703000,530260000,-751022000,-37692000,67000,-55044000,,-31247000,-344678000,DAR,Darling Ingredients Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,69072000,46399000,58449000,430020000,657290000,316387000,96812000,21837000,5168000,-79954000,,-39369000,978171000,4645000,-274000,-195508000,,0.0,-25000000.0,-215863000,43824000,-661402000,101332000,50000,-167708000,,-56725000,-740629000,DAR,Darling Ingredients Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,150168000,113013000,113362000,420938000,747092000,394721000,46734000,25005000,4984000,-56543000,,-150423000,1011570000,13442000,-1492000,-2037187000,,,,-2023745000,1934885000,-1960358000,584000,0,-125531000,,-68256000,-218676000,DAR,Darling Ingredients Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,264450000,152670000,261321000,342259000,660389000,502015000,-22241000,33156000,-1022000,-10832000,,27578000,1189043000,10748000,-1524000,-1168210000,,,39014000.0,-1118448000,817101000,-2524049000,461678000,0,-52941000,,-30179000,-1328390000,DAR,Darling Ingredients Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,129324000,21312000,2372000,155731000,-40471000,48186000,624000,25778000,5443000,172338000,-2176000,-12491000,197231000,-29728000,0,0,-909852000,843138000,-1131000.0,-97573000,0.0,0,,,-50069000,,-22604000,-72673000,RMBS,Rambus Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,108264000,22839000,2372000,195425000,18334000,44277000,1522000,27486000,13945000,104691000,2195000,16815000,229265000,-13792000,0,-97115000,-567947000,563199000,,-115655000,0.0,0,0.0,,-100081000,,-23085000,-123166000,RMBS,Rambus Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,125694000,25275000,1525000,209915000,-14310000,47127000,689000,35552000,5731000,98053000,11975000,-20975000,163842000,-17478000,-3000000,-15932000,-150949000,339338000,,154979000,91729000.0,-258060000,-166331000.0,,-100421000,,-32791000,-465874000,RMBS,Rambus Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,94767000,25932000,73000,172546000,333904000,48428000,-145350000,45011000,9882000,-22839000,-5768000,-25506000,237762000,-23240000,0,106347000,-434155000,293652000,,-57396000,,-10381000,-10381000.0,,-100525000,,-56970000,-178257000,RMBS,Rambus Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-01-31,328803000,0,27686000,84655000,8834000,115904000,-5132000,42863000,6855000,-413000,,-17714000,151197000,-13093000,-83871000,0,0.0,0,,-13093000,0,-239063000,,286779000,,,-3862000,43854000,HQY,HealthEquity Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-01-31,225414000,0,16107000,3914000,-44289000,137188000,-23430000,52750000,3533000,-11204000,,15007000,129555000,-8908000,-128173000,-504533000,0.0,2367000,,-511074000,950000000,-1003125000,,456640000,,,-18406000,385109000,HQY,HealthEquity Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-01-31,254266000,1526000,43570000,31523000,-26143000,161201000,-17181000,62614000,3529000,-9570000,,2873000,177323000,-3371000,-115756000,0,,0,,-3371000,0,-8750000,,0,,,-603000,-9353000,HQY,HealthEquity Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-06-30,319128000,,,184767000,196250000,175434000,-32399000,9116000,988000,-6689000,-275000,-11263000,331162000,-155985000,,0,-461000.0,0,3126000,-153320000,200000000.0,-115000000,200000000,,-4180000,-71471000,2411000,211760000,RGLD,Royal Gold Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2021-06-30,225916000,,,239004000,302776000,183569000,456000,5730000,971000,-21637000,3237000,-54020000,421082000,-168147000,,61300000,,8651000,-18541000,-116737000,,-305000000,0,,-1465000,-76099000,-1062000,-383626000,RGLD,Royal Gold Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,118586000,54804000.0,7218000.0,-504810000,239942000,178935000,-19836000,8411000,979000,6532000,211000,3294000,418468000,-922155000,,0,,0,-721000,-922876000,,-125000000,575000000,,-1447000,-91925000,-1062000,355566000,RGLD,Royal Gold Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,104167000,,28054000.0,413114000,240132000,164937000,-6469000,9696000,779000,911000,4756000,5780000,420522000,-2678000,,0,,0,-151000,-2829000,,-325000000,-325000000,,-1383000,-98567000,-2432000,-752382000,RGLD,Royal Gold Inc,USD,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,214000000,,,178000000,24000000,489000000,25000000,,5000000,-84000000,84000000,167000000,710000000,-626000000,,-27000000,,34000000.0,36000000,-583000000,1175000000,-1185000000,-52000000,,,-118000000,23000000,-157000000,ICL,Israel Chemicals Ltd,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,473000000,,,454000000,832000000,490000000,260000000,,-21000000,-417000000,274000000,-267000000,1151000000,-611000000,,-365000000,,,42000000,-934000000,1230000000,-1178000000,-58000000,,,-276000000,-20000000,-302000000,ICL,Israel Chemicals Ltd,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,417000000,,,1278000000,2219000000,498000000,1185000000,,-15000000,-261000000,-42000000,-527000000,3057000000,-747000000,,-18000000,,,47000000,-718000000,1045000000,-1202000000,-21000000,,,-1166000000,20000000,-1324000000,ICL,Israel Chemicals Ltd,USD,NYSE,XNYS,America/New_York,Annual
2020-06-30,1592377000,,174000,-16506000,-31091000,4257000,0,18064000,717000,-1608000,-1596000,11321000,64000,-11437000,-639000.0,0,-1088611000,852159000,-959000,-248848000,0,0,2300000,533657000,,,314937000,850894000,BILL,Bill.Com Holdings Inc,USD,NYSE,XNYS,America/New_York,Annual
